cty_code,cty_lon,cty_lat
06037,-2011049.6414920879,1486998.9369920683
06039,-2067314.3851133203,1834996.3914939188
06041,-2291575.3144302364,1995302.4022226436
06043,-2069178.7594162603,1877553.0046562606
06045,-2303828.9878197825,2158433.8238593484
06047,-2149177.2024523667,1853323.8668169412
06049,-2022968.7233993607,2329656.4183446993
06051,-1972942.5578479161,1894624.5874841418
06053,-2221864.4662352037,1759793.0365411905
06055,-2245541.6602819823,2032643.9390496353
06057,-2092547.684168443,2082974.358049527
06059,-1985488.2770396566,1410084.8894678422
06061,-2095263.9066671024,2056108.3375195556
06063,-2077868.316185384,2160589.615222454
06065,-1825732.0505636986,1379435.362209427
06067,-2165201.964254908,2003603.1078384442
06069,-2196510.083459347,1798017.1170641007
06071,-1816360.156011859,1502675.5270137999
06073,-1909553.2688008505,1316242.5747351486
06075,-2278496.1118551693,1954584.666516996
06077,-2174274.7366972878,1946302.228132486
06079,-2173679.9703727844,1650750.6893249848
06081,-2278456.8956397534,1915816.3284451761
06083,-2159962.9068488497,1564567.041993135
06085,-2230897.7309135622,1880254.7294521162
06087,-2262107.1797704385,1868462.8442653818
06089,-2153065.0797866136,2269374.87187707
06091,-2063666.5965551843,2107655.165029037
06093,-2167654.1033597337,2370073.62690272
06095,-2219543.6311489935,1997833.8227200175
06097,-2291012.375831719,2048295.0518180854
06099,-2162271.203999282,1899439.929782108
06101,-2176849.836002225,2074835.8038485146
06103,-2188107.726395975,2205044.762813658
06105,-2242983.521074378,2281870.029058526
06107,-2011629.8722688071,1705857.8885748985
06109,-2060862.4769292814,1927042.9633706622
06111,-2083608.0831344365,1520241.426075422
06113,-2204404.975124647,2042046.270004273
06115,-2141577.2358089928,2092399.6585585906
08003,-854828.1541639643,1659015.493788443
08005,-708221.758955175,1878880.8016697646
08007,-969300.0319284095,1628861.3980808142
08009,-575447.628887859,1606387.0590106195
08011,-614912.7057457332,1680649.787263191
08015,-876014.8615384516,1793551.4281909354
08017,-567476.837964522,1775372.9169462712
08019,-818258.7970722051,1893704.8862905835
08021,-894355.3459433793,1621260.0613508027
08023,-826767.157017028,1622937.5313761996
08025,-673355.2450112752,1727015.6538199668
08027,-812277.4636797959,1715069.31720741
08029,-1017178.2699367052,1822944.7820271435
08031,-724033.0042271483,1948812.1201560698
08033,-1089286.3926367327,1706874.4251798072
08035,-761594.0669444234,1847657.55039613
08037,-907830.7043647214,1896399.1010219597
08039,-694447.1230459354,1836751.56067968
08041,-732200.3874771696,1788949.55816262
08043,-814462.357043542,1756334.5747758048
08045,-1010415.7095417391,1905557.1169981447
08047,-806068.2715260366,1911435.0981823567
08049,-853385.382661489,1943937.9656001534
08051,-948758.701139909,1792643.901614579
08053,-982990.0739730402,1701254.494069194
08055,-781573.9020451147,1664355.9262106302
08057,-865370.5582356234,2008738.5197710022
08061,-582361.5510910115,1732047.25316676
08063,-563709.0579669983,1828745.4663496448
08065,-883389.614465458,1845727.0151947858
08067,-1037451.9440901662,1647572.8020004842
08069,-791858.5263308346,2001046.5921934329
08071,-704894.859622949,1616065.1895301775
08073,-644208.057838371,1798939.901766224
08075,-595048.7026601625,1990417.6114428167
08077,-1066417.036433647,1846996.3643887388
08079,-952362.487666963,1680492.8440642075
08081,-1021317.4455736355,2021968.1253308533
08083,-1102288.6151349554,1661845.8101359026
08085,-1058490.4909091573,1776389.3709958289
08087,-657723.7699283537,1943419.802665624
08089,-671338.9983213985,1679170.7964764494
08091,-1018928.0590459321,1743414.5421383427
08093,-830926.2070333122,1830740.164252968
08095,-533149.6937930961,1971355.0276885303
08097,-931803.5697908506,1852829.5551339176
08099,-556022.2135858932,1676482.458864497
08101,-737714.2443160708,1715320.8965211196
08103,-1031336.964221414,1951197.9312320636
08105,-906456.909535449,1665605.5272775244
08107,-921743.2409569236,1994577.946875844
08109,-891520.835321253,1720143.5968652389
08111,-1016302.4348915294,1698889.733212173
08113,-1075926.396590491,1733619.6446815636
08115,-530552.9577358982,2002835.1039126122
08117,-858788.1610942365,1891711.3627940773
08119,-786147.1085870479,1799597.549849314
08121,-609090.299883363,1906741.7333263347
08125,-543209.3371360353,1905590.987756874
09001,1861826.0794217528,2251858.7227452477
09003,1900292.3882801605,2323026.573603959
09005,1859614.035271858,2311370.4002288324
09007,1925523.8497885969,2289762.408453495
09009,1894980.2461918758,2276070.483901326
09011,1959619.8665293732,2301184.0231785546
09013,1930654.1167069336,2336294.8687882596
09015,1959222.9788886346,2340719.955637554
10001,1737553.986837337,1972064.7202209583
10003,1719088.2090415542,2024822.229453285
10005,1762737.67650594,1928769.9065457962
11001,1620146.4988764725,1926587.3359588191
12001,1315541.3948161192,827883.4756240618
12003,1312062.2763021318,900983.8125868075
12005,995244.2753492993,853201.5347394983
12007,1329196.8010010594,860714.4920058405
12009,1495495.6105408606,700712.5492246717
12011,1557577.3504748312,471890.6046351793
12013,1033843.1228279289,873267.1560280973
12015,1403413.9489722599,531554.0567750791
12017,1317084.2594793828,735680.2400299065
12019,1358311.5053818298,868742.4815032299
12021,1472814.8776653386,454394.8532884921
12023,1281695.6968914839,884595.5899891926
12027,1408940.2477188078,563608.4881338717
12029,1239767.054698462,809775.1358645378
12031,1370340.8030410418,909708.6713195924
12033,824669.2696536782,881012.3511722117
12035,1419088.9466858464,819513.3022789658
12037,1077762.1959405406,818897.3135681668
12039,1087138.90203163,898931.9977084891
12041,1272340.7682676634,827459.4683284265
12043,1473965.372273787,547996.0046334519
12045,1037032.4417871967,823114.1415888299
12047,1246505.4949515767,910232.1054765258
12049,1403867.5494357361,596991.067608725
