cz_code,cz_lon,cz_lat
278,1195697.1339360035,1260197.5574719182
279,403872.3617029377,2588674.6389913103
280,468858.7377499265,2001207.9261516489
281,1972249.3590439192,2520001.4354251735
282,1227768.3385022702,1361843.107300147
283,-117328.60865646064,958736.4274447375
284,866728.3129255893,2173899.195134671
285,824519.2389947025,1998731.3061085746
286,91284.24593360427,1110397.9331978844
287,-15836.086038112968,1701098.4755954107
288,-973841.3672298994,1073387.186003628
289,415721.1969049617,973081.0996132934
291,-213165.15661451392,373514.94423189654
292,-396997.74041257263,2035089.2331353188
293,-441340.08521039214,1934816.5543962058
294,-2257719.5600215183,1995386.176582508
295,55044.17863518673,1967624.6638251224
296,1279227.0906986836,2115210.873457555
297,-1690054.9358283551,1733505.757102175
298,1704581.1037264746,1564707.6605060836
299,-389419.314066575,1228001.3198481028
300,-990347.0514848897,2612223.448349172
301,-99103.77930815713,2427677.8065212425
302,1175690.5295458504,1714703.2766669618
303,968440.1833849472,1235099.8790582991
304,202327.0034916772,2248105.595167901
305,165164.28157622696,2669351.2002788098
306,1005762.2056644299,880795.4701100477
307,1465579.282224712,491485.7606140222
308,1781032.9507706228,2040394.4947618444
309,1684846.4819958522,2219743.1452399627
310,1110371.8527318484,1331205.4181831244
311,1092108.217844593,1747779.514520878
312,762476.203427603,1033093.316192456
313,382621.74715551425,1077045.6783994648
314,304944.97807282076,1024241.814223568
315,-769092.8109507997,1469648.2883188606
316,1730639.292439262,2091571.546707412
317,191524.5415996235,1539829.7694743904
318,1225386.5164874285,1972707.5998481512
319,1129474.201028519,1649867.6116569098
320,608481.9772980614,1977580.3864759745
321,311755.7165174569,1491432.3206351027
322,951901.8210271413,2497228.3177065444
323,-1835076.7329910197,1457779.5990152096
324,-217421.9302454587,2489075.9070917754
325,1334912.1522906402,660582.804281919
326,-581429.583418658,2569952.784263054
327,1117215.257335992,1873214.9402031703
328,1124489.7154186617,1518655.123284207
329,-131114.30146479388,2056666.1094371376
330,1668266.8495112592,1826250.6596584795
331,718853.0985118035,1629332.1042856795
332,1437581.2530658802,2135700.1199684734
333,-542467.1871870636,985987.3030044948
334,1380733.3388097428,560133.0414483445
335,-269620.5017288144,2357545.589196593
336,1028299.265641348,1682098.7419260324
337,928740.7399298471,1912873.9317138179
338,500013.00305993325,733742.1876927423
339,2116687.756588248,2793296.1166912173
340,-1685504.8068306888,3006296.127502329
341,1156953.09540796,1070216.6509715607
342,1265833.9062872988,1666029.3871358084
343,658050.2691133961,1639364.9261419747
344,434305.4835276673,2152236.3953099856
345,499939.0373697302,931285.7263303595
346,1352867.0702806811,1410933.5781370348
347,1075792.8204171301,940318.4220827044
348,-2176601.4022290125,2200604.7941683903
349,600050.7018909975,1730634.58182049
350,473015.2683979544,1548675.109094536
351,1057312.0466129666,1624206.0381762697
352,929846.0779061338,2354221.6902593817
353,245756.81010599842,1520213.8308530843
354,-2083236.5857122822,2925468.662585485
355,1706931.6714113592,1935186.5998799826
356,73887.30564458635,2747878.5810766607
357,1088816.1896112624,1396582.9680365473
358,1567230.821868075,2208868.2137370408
359,1310811.4595286455,1745527.2217044544
360,-165525.27053962793,2590215.031350335
361,1274752.9839109462,1426101.9521697569
362,-1933613.8586417816,2753954.2845073757
363,-1092997.3234276427,1606287.2306413206
364,360445.7777991717,1562820.17333595
365,-1389357.7024847376,2766960.527981666
366,470074.44655514276,2445698.5930591146
367,1321372.4987423257,1843782.4702332632
368,158720.8318970075,1883030.3827746375
369,-210200.09338613437,1263402.1982258745
370,-290168.59715939825,1474270.2555528702
371,1179745.59255663,1330263.8248803944
372,1069932.7565739576,1788226.1833778904
373,-1961101.7585202786,2610997.023635783
374,1242109.8954549034,884211.6178798649
375,21943.249809621902,2672906.92483016
376,286265.0153858935,1691593.2558191891
377,-1168713.0932319341,1994620.7909492322
379,-398041.7290272698,1557029.8887313136
380,834156.3785155672,961377.718589903
381,-1049600.353658995,1772650.494042024
382,1143691.0114373825,951049.760213212
383,868744.8191088923,1819395.43275128
384,587230.7079457227,1655046.3634889873
385,1719593.8926676603,2467571.0284086773
386,57746.28772293824,1212580.1112177519
387,47615.33001864769,871578.2661337416
388,920257.786634794,2447268.0680627585
389,617498.9096566696,1317400.0445536794
390,-226196.86888357953,2779458.5439609275
391,1108667.0358290614,2045251.9454697906
392,-476791.1333466148,752050.7020824973
393,280031.05387180566,2014643.8304096907
394,-1100071.364211651,2139767.8805087167
395,876181.509957239,2545404.420783506
396,-1818822.488928897,2181411.5754706254
397,-300951.3679444404,1386313.9884636032
398,1883852.7949146675,2555077.875142572
399,473627.76382144453,1649132.9745691875
400,1053886.5302181013,1884506.8298270449
401,155805.08947855755,2171200.8806952853
402,1225199.699139431,1521532.502331127
403,1544463.375389908,1676571.759460034
404,974082.4415321896,2031286.41871405
405,-648784.7703308447,1263989.1800032319
406,-332642.6791640143,1627725.2386587812
407,-99578.892664103,1491725.3733827756
408,806745.9011022698,2113710.8013509247
409,999767.2519290866,1178173.937231265
410,1546403.713781727,419459.75041126896
411,231184.43323862174,1261599.4794872687
412,-2015894.7871293,2933341.545340357
413,472215.37246791314,1324598.2026531892
414,-1001635.8665012491,1993640.9475549627
415,47180.0600856135,2595425.8235789207
416,546982.1372137875,1255008.098439831
417,1124116.803523433,2107941.3651592606
418,1537770.269648849,1996977.5886912385
419,-504147.702638643,1261973.5959668632
420,1444653.9213502917,2048470.8416170247
421,1401165.3460937827,1632444.6869112928
422,242115.09689234084,1131787.44186468
423,-1008245.8569041904,1645998.3879042729
424,1309824.110417379,1154700.2856315705
425,-306218.0597401541,1310155.7733335493
426,71204.51192564338,1404092.4134097723
427,1823061.9654729443,2099946.6849134313
428,33904.06603623596,1551438.2277165165
429,-133699.30474467482,2197254.5481235376
430,384917.7460048942,1455744.9251232103
431,1533788.2884729006,2273573.3310210556
432,962503.2332575145,2101246.254188206
433,-32777.38380507119,1184728.4626175906
434,1530304.3071473748,1743925.1597356333
435,-202297.29174306302,1508830.4727208808
436,1380958.6213330526,1860795.9725278472
437,-6934.53639556971,2368698.4572744896
438,-1427661.5828590882,1526007.2745405457
439,1077172.805899824,1694752.5232446403
440,681197.9314095516,2016489.4107907757
441,1427599.7623647742,1792178.7236666738
442,1187830.1924686474,1863129.6805609928
443,720299.4210279325,1784556.8592847742
444,-527484.9129015297,1514432.0647775372
445,-718442.7794734396,2396046.3371797292
